Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-10-08,Dom,La Liga,Semana 9 de partido,Visitante,E 2–2,Barcelona,Granada,Sí,FW,90,0,0,0,0,4,1,0,0,49,0,0,0,0.5,0.5,0.3,7,0,37,41,90.2,4,20,1,1,0,Informe del partido,495,90,22,23,95.7,11,11,100.0,2,2,100.0,0.1,4,3,1,0,38,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,18,31,5,49,0.0,1,100.0,82,36,0,1,3,2,45,8,0,0,0,2,0,0,0,1,0,1,0.0
2023-10-12,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–0,es España,sct Escocia,Sí,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
2023-10-15,Dom,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 1–0,es España,no Noruega,Sí,FW,70,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,
2023-10-22,Dom,La Liga,Semana 10 de partido,Local,V 1–0,Barcelona,Athletic Club,Sí,"RW,FW",90,0,0,0,0,1,0,0,0,40,0,0,0,0.1,0.1,0.2,2,0,19,31,61.3,3,28,1,3,2,Informe del partido,346,42,7,12,58.3,11,15,73.3,1,2,50.0,0.1,1,0,1,0,31,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,22,17,3,40,66.7,1,33.3,133,68,2,1,3,1,33,7,0,0,0,2,0,0,0,5,0,1,0.0
2023-10-25,Mié,Champions Lg,Etapa de grupo,Local,V 2–1,es Barcelona,ua Shakhtar,Sí,"FW,LW",90,1,1,0,0,2,1,1,0,32,0,0,0,0.2,0.2,0.1,5,1,18,25,72.0,3,16,1,2,0,Informe del partido,247,44,9,11,81.8,8,11,72.7,0,2,0.0,0.0,1,0,1,0,23,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,9,22,4,32,0.0,1,50.0,72,25,1,0,2,3,24,9,0,1,2,1,0,0,0,2,1,0,100.0
2023-10-28,Sáb,La Liga,Semana 11 de partido,Local,D 1–2,Barcelona,Real Madrid,Sí,FW,60,0,0,0,0,0,0,1,0,25,0,1,0,0.0,0.0,0.0,1,0,16,22,72.7,0,21,2,0,0,Informe del partido,218,8,9,13,69.2,5,6,83.3,1,1,100.0,0.0,1,1,0,0,21,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,2,17,7,0,25,,0,,69,20,1,0,2,0,21,3,0,1,1,0,0,0,0,2,0,2,0.0
2023-11-04,Sáb,La Liga,Semana 12 de partido,Visitante,V 1–0,Barcelona,Real Sociedad,No,"FW,AM",34,0,0,0,0,2,0,0,0,14,0,0,0,0.1,0.1,0.1,1,0,7,9,77.8,1,9,1,0,0,Informe del partido,77,15,6,7,85.7,1,2,50.0,0,0,,0.1,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,7,1,14,,0,,47,14,0,1,2,1,13,3,0,0,0,0,0,0,0,1,0,0,
2023-11-07,Mar,Champions Lg,Etapa de grupo,Visitante,D 0–1,es Barcelona,ua Shakhtar,Sí,LW,58,0,0,0,0,2,0,0,0,37,0,0,0,0.1,0.1,0.0,2,0,22,28,78.6,3,28,1,2,1,Informe del partido,476,53,10,12,83.3,8,11,72.7,4,4,100.0,0.0,1,0,1,1,28,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,15,20,0,37,50.0,1,50.0,126,33,1,0,3,2,30,11,0,0,0,0,0,0,0,1,1,0,100.0
2023-11-12,Dom,La Liga,Semana 13 de partido,Local,V 2–1,Barcelona,Alavés,No,LW,21,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,1,5,7,71.4,0,6,1,0,0,Informe del partido,53,12,3,3,100.0,1,1,100.0,0,0,,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,2,0,0,1,0,0,2,4,5,2,11,,0,,22,9,1,0,3,0,10,2,0,1,2,1,1,0,0,1,0,0,
2023-11-16,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 3–1,es España,cy Chipre,No,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,
