Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-10-24,Mar,Champions Lg,Etapa de grupo,Visitante,V 2–1,es Real Madrid,pt Braga,Sí,FW,90,0,1,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.1,3,2,26,32,81.3,4,39,9,10,4,Informe del partido,397,46,15,19,78.9,6,7,85.7,3,3,100.0,0.1,1,1,2,0,31,1,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,6,38,11,44,40.0,3,30.0,327,180,5,9,1,3,38,15,0,0,0,5,0,0,0,3,0,0,
2023-10-28,Sáb,La Liga,Semana 11 de partido,Visitante,V 2–1,Real Madrid,Barcelona,Sí,FW,89,0,0,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0.0,3,0,19,25,76.0,3,30,3,5,0,Informe del partido,239,45,12,12,100.0,6,9,66.7,0,0,,0.3,2,2,1,0,24,1,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,11,29,3,40,0.0,4,80.0,184,60,0,2,4,3,34,8,0,1,4,0,0,0,0,3,0,1,0.0
2023-11-05,Dom,La Liga,Semana 12 de partido,Local,E 0–0,Real Madrid,Rayo Vallecano,Sí,"FW,LW",90,0,0,0,0,2,0,1,0,53,1,0,0,0.2,0.2,0.2,5,0,17,32,53.1,0,40,10,15,10,Informe del partido,245,35,9,14,64.3,7,14,50.0,1,1,100.0,0.2,2,1,0,0,31,1,0,0,0,5,0,1,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,1,0,0,2,6,45,12,53,66.7,5,33.3,389,214,1,7,7,2,45,22,0,2,4,1,0,0,0,2,0,0,
2023-11-08,Mié,Champions Lg,Etapa de grupo,Local,V 3–0,es Real Madrid,pt Braga,Sí,FW,90,1,1,0,0,2,1,0,0,50,1,0,0,0.3,0.3,1.7,7,1,26,35,74.3,5,41,9,5,1,Informe del partido,401,63,18,21,85.7,5,8,62.5,2,3,66.7,0.9,7,1,3,0,34,1,0,2,1,1,0,1,0,0,0,0,2,6,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,0,0,0,1,8,42,15,50,20.0,4,80.0,323,212,3,7,4,2,40,14,0,1,0,0,0,0,0,3,0,0,
2023-11-11,Sáb,La Liga,Semana 13 de partido,Local,V 5–1,Real Madrid,Valencia,Sí,FW,81,2,0,0,0,5,3,0,0,47,1,0,1,0.7,0.7,0.1,6,0,21,28,75.0,3,35,5,13,7,Informe del partido,306,80,15,18,83.3,2,2,100.0,2,5,40.0,0.1,1,2,2,0,25,3,2,0,3,1,0,0,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,1,0,1,0,0,0,2,20,26,8,47,53.8,5,38.5,245,155,4,3,3,2,34,6,0,0,4,2,0,0,0,5,0,0,
2023-11-16,Jue,WCQ,WCQ — CONMEBOL (M),Visitante,D 1–2,br Brasil,co Colombia,Sí,FW,26,0,1,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,
2024-01-03,Mié,La Liga,Semana 19 de partido,Local,V 1–0,Real Madrid,Mallorca,Sí,FW,59,0,0,0,0,3,2,0,0,31,0,0,0,0.3,0.3,0.0,2,0,14,19,73.7,1,27,1,7,3,Informe del partido,226,20,10,11,90.9,2,3,66.7,2,3,66.7,0.0,1,1,0,0,19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,8,24,2,31,42.9,4,57.1,142,57,2,0,4,0,26,8,0,1,1,0,0,0,0,2,0,0,
2024-01-10,Mié,Supercopa de España,Semifinales,Local,V 5–3,Real Madrid,Atlético Madrid,Sí,FW,104,0,0,0,0,4,1,0,0,,,1,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0,,,0,,,,
2024-01-14,Dom,Supercopa de España,Final,Local,V 4–1,Real Madrid,Barcelona,Sí,FW,81,3,0,1,1,6,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,0,,,,
2024-01-18,Jue,Copa del Rey,Ronda de 16,Visitante,D 2–4,Real Madrid,Atlético Madrid,Sí,FW,120,0,0,0,0,5,2,1,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,,,0,,,,
