Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won,Player,Performance,Normalized_performance
2023-10-22,Dom,La Liga,Semana 10 de partido,Local,V 1–0,Barcelona,Athletic Club,Sí,Delantero,90,0,0,0,0,1.0,0.0,0,0,40.0,0.0,0.0,0.0,0.1,0.1,0.2,2.0,0.0,19.0,31.0,61.3,3.0,28.0,1.0,3.0,2.0,Informe del partido,346.0,42.0,7.0,12.0,58.3,11.0,15.0,73.3,1.0,2.0,50.0,0.1,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,17.0,3.0,40.0,66.7,1.0,33.3,133.0,68.0,2.0,1.0,3.0,1.0,33.0,7.0,0,0.0,0.0,2.0,0.0,0.0,0,5.0,0.0,1.0,0.0,Ferran Torres,6.472999999999999,2.946156296936871
2023-10-25,Mié,Champions Lg,Etapa de grupo,Local,V 2–1,es Barcelona,ua Shakhtar,Sí,Delantero,90,1,1,0,0,2.0,1.0,1,0,32.0,0.0,0.0,0.0,0.2,0.2,0.1,5.0,1.0,18.0,25.0,72.0,3.0,16.0,1.0,2.0,0.0,Informe del partido,247.0,44.0,9.0,11.0,81.8,8.0,11.0,72.7,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,4.0,32.0,0.0,1.0,50.0,72.0,25.0,1.0,0.0,2.0,3.0,24.0,9.0,0,1.0,2.0,1.0,0.0,0.0,0,2.0,1.0,0.0,100.0,Ferran Torres,9.799999999999999,4.46042510582131
2023-10-28,Sáb,La Liga,Semana 11 de partido,Local,D 1–2,Barcelona,Real Madrid,Sí,Delantero,60,0,0,0,0,0.0,0.0,1,0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,22.0,72.7,0.0,21.0,2.0,0.0,0.0,Informe del partido,218.0,8.0,9.0,13.0,69.2,5.0,6.0,83.3,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,17.0,7.0,0.0,25.0,,0.0,,69.0,20.0,1.0,0.0,2.0,0.0,21.0,3.0,0,1.0,1.0,0.0,0.0,0.0,0,2.0,0.0,2.0,0.0,Ferran Torres,4.476999999999999,2.03768604069
2023-11-04,Sáb,La Liga,Semana 12 de partido,Visitante,V 1–0,Barcelona,Real Sociedad,No,Delantero,34,0,0,0,0,2.0,0.0,0,0,14.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,7.0,9.0,77.8,1.0,9.0,1.0,0.0,0.0,Informe del partido,77.0,15.0,6.0,7.0,85.7,1.0,2.0,50.0,0.0,0.0,,0.1,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,14.0,,0.0,,47.0,14.0,0.0,1.0,2.0,1.0,13.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,Ferran Torres,3.098000000000001,1.4100405079422882
2023-11-07,Mar,Champions Lg,Etapa de grupo,Visitante,D 0–1,es Barcelona,ua Shakhtar,Sí,Delantero,58,0,0,0,0,2.0,0.0,0,0,37.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,22.0,28.0,78.6,3.0,28.0,1.0,2.0,1.0,Informe del partido,476.0,53.0,10.0,12.0,83.3,8.0,11.0,72.7,4.0,4.0,100.0,0.0,1.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,20.0,0.0,37.0,50.0,1.0,50.0,126.0,33.0,1.0,0.0,3.0,2.0,30.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,100.0,Ferran Torres,7.416,3.3753584270174324
2023-11-12,Dom,La Liga,Semana 13 de partido,Local,V 2–1,Barcelona,Alavés,No,Delantero,21,0,0,0,0,0.0,0.0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,71.4,0.0,6.0,1.0,0.0,0.0,Informe del partido,53.0,12.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,5.0,2.0,11.0,,0.0,,22.0,9.0,1.0,0.0,3.0,0.0,10.0,2.0,0,1.0,2.0,1.0,1.0,0.0,0,1.0,0.0,0.0,,Ferran Torres,1.5340000000000003,0.6981930726867235
2023-11-25,Sáb,La Liga,Semana 14 de partido,Visitante,E 1–1,Barcelona,Rayo Vallecano,Sí,Delantero,54,0,0,0,0,1.0,1.0,0,0,20.0,1.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,11.0,15.0,73.3,0.0,12.0,0.0,1.0,0.0,Informe del partido,197.0,69.0,5.0,6.0,83.3,3.0,3.0,100.0,2.0,4.0,50.0,0.1,3.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,12.0,4.0,20.0,0.0,1.0,100.0,39.0,1.0,0.0,0.0,0.0,2.0,13.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,2.0,1.0,1.0,50.0,Ferran Torres,5.6129999999999995,2.5547312366301034
2023-11-28,Mar,Champions Lg,Etapa de grupo,Local,V 2–1,es Barcelona,pt Porto,No,Delantero,16,0,0,0,0,1.0,0.0,0,0,9.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,1.0,1.0,1.0,Informe del partido,38.0,0.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,9.0,100.0,0.0,0.0,13.0,3.0,0.0,1.0,1.0,0.0,5.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0,1.0,1.0,2.0,33.3,Ferran Torres,2.003,0.9116562741796004
2023-12-03,Dom,La Liga,Semana 15 de partido,Local,V 1–0,Barcelona,Atlético Madrid,No,Delantero,14,0,0,0,0,0.0,0.0,1,0,11.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,6.0,7.0,85.7,0.0,4.0,0.0,2.0,0.0,Informe del partido,63.0,5.0,5.0,5.0,100.0,1.0,2.0,50.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,11.0,0.0,2.0,100.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,Ferran Torres,1.9970000000000003,0.9089254016658324
2023-12-10,Dom,La Liga,Semana 16 de partido,Local,D 2–4,Barcelona,Girona,No,Delantero,26,0,1,0,0,1.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,1.0,7.0,7.0,100.0,3.0,8.0,1.0,2.0,1.0,Informe del partido,121.0,51.0,3.0,3.0,100.0,1.0,1.0,100.0,2.0,2.0,100.0,0.4,2.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,9.0,50.0,1.0,50.0,56.0,30.0,1.0,0.0,0.0,0.0,9.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,Ferran Torres,6.8100000000000005,3.099540303126849
